Row Labels,Count of State
Alabama,21
Alaska,1
Arizona,3
Arkansas,6
California,28
Colorado,3
Connecticut,3
Delaware,1
District of Columbia,12
Florida,25
Georgia,19
Hawaii,1
Illinois,32
Indiana,10
Iowa,1
Kansas,2
Kentucky,11
Louisiana,14
Maine,1
Maryland,5
Massachusetts,6
Michigan,12
Minnesota,8
Mississippi,20
Missouri,21
Nebraska,1
Nevada,2
New Jersey,3
New Mexico,1
New York,15
North Carolina,13
Ohio,16
Oklahoma,6
Pennsylvania,27
South Carolina,6
South Dakota,2
Tennessee,16
Texas,26
Utah,1
Virginia,12
Washington,5
West Virginia,2
Wisconsin,7
Grand Total,427